id,name,type,subCategory,category,location,district,tier,rating,description,image,phone,website,lat,lng,socialFacebook,socialInstagram
hotel-resorts-trincomalee-4,Kuchchaveli Sands Resort,hotel,Resorts,Accommodation,"Kuchchaveli, Trincomalee",Trincomalee,premium,4.7,"Beachfront resort in Kuchchaveli offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Kuchchaveli%20Sands%20Resort,+94 026 229 1525,https://www.kuchchaveli-sands-resort.lk,8.8894,81.1313,https://facebook.com/kuchchavelisandsresort,https://instagram.com/kuchchavelisandsresort
hotel-resorts-batticaloa-1,Batticaloa Bay Resort,hotel,Resorts,Accommodation,"Batticaloa Town, Batticaloa",Batticaloa,,4.1,"Beachfront resort in Batticaloa Town offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Batticaloa%20Bay%20Resort,+94 065 272 6155,https://www.batticaloa-bay-resort.lk,7.711,81.7,https://facebook.com/batticaloabayresort,https://instagram.com/batticaloabayresort
hotel-resorts-batticaloa-2,Kallady Lagoon Resort,hotel,Resorts,Accommodation,"Kallady, Batticaloa",Batticaloa,premium,4.8,"Beachfront resort in Kallady offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Kallady%20Lagoon%20Resort,+94 065 282 8517,https://www.kallady-lagoon-resort.lk,7.7096,81.7095,https://facebook.com/kalladylagoonresort,https://instagram.com/kalladylagoonresort
hotel-resorts-batticaloa-3,Pasikudah Coconut Grove Resort,hotel,Resorts,Accommodation,"Pasikudah, Batticaloa",Batticaloa,premium,4.7,"Beachfront resort in Pasikudah offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Pasikudah%20Coconut%20Grove%20Resort,+94 065 268 5304,https://www.pasikudah-coconut-grove-resort.lk,7.9382,81.5653,https://facebook.com/pasikudahcoconutgroveresort,https://instagram.com/pasikudahcoconutgroveresort
hotel-resorts-ampara-1,Arugam Bay Resort,hotel,Resorts,Accommodation,"Arugam Bay, Ampara",Ampara,featured,4.5,"Beachfront resort in Arugam Bay offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Arugam%20Bay%20Resort,+94 063 246 4593,https://www.arugam-bay-resort.lk,6.8499,81.8295,https://facebook.com/arugambayresort,https://instagram.com/arugambayresort
hotel-resorts-ampara-2,Pottuvil Lagoon Resort,hotel,Resorts,Accommodation,"Pottuvil, Ampara",Ampara,featured,4.4,"Beachfront resort in Pottuvil offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Pottuvil%20Lagoon%20Resort,+94 063 296 1771,https://www.pottuvil-lagoon-resort.lk,6.8769,81.8214,https://facebook.com/pottuvillagoonresort,https://instagram.com/pottuvillagoonresort
hotel-resorts-ampara-3,Kalmunai Coconut Grove Resort,hotel,Resorts,Accommodation,"Kalmunai, Ampara",Ampara,,4.1,"Beachfront resort in Kalmunai offering pools, spa treatments and ocean-view rooms.",https://placehold.co/800x600?text=Kalmunai%20Coconut%20Grove%20Resort,+94 063 287 7916,https://www.kalmunai-coconut-grove-resort.lk,7.4186,81.8144,https://facebook.com/kalmunaicoconutgroveresort,https://instagram.com/kalmunaicoconutgroveresort
shop-souvenir-shops-trincomalee-1,Trincomalee Souvenir Corner,shop,Souvenir Shops,Shopping,"Trincomalee Town, Trincomalee",Trincomalee,,4.2,"Local craft and souvenir shop in Trincomalee Town selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Trincomalee%20Souvenir%20Corner,+94 026 259 9669,https://www.trincomalee-souvenir-corner.lk,8.5783,81.2344,https://facebook.com/trincomaleesouvenircorner,https://instagram.com/trincomaleesouvenircorner
shop-souvenir-shops-trincomalee-2,Nilaveli Batik & Craft Shop,shop,Souvenir Shops,Shopping,"Nilaveli, Trincomalee",Trincomalee,featured,4.5,"Local craft and souvenir shop in Nilaveli selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Nilaveli%20Batik%20%26%20Craft%20Shop,+94 026 287 2876,https://www.nilaveli-batik-craft-shop.lk,8.7036,81.184,https://facebook.com/nilavelibatikcraftshop,https://instagram.com/nilavelibatikcraftshop
shop-souvenir-shops-trincomalee-3,Uppuveli Gem & Handicraft Store,shop,Souvenir Shops,Shopping,"Uppuveli, Trincomalee",Trincomalee,,3.9,"Local craft and souvenir shop in Uppuveli selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Uppuveli%20Gem%20%26%20Handicraft%20Store,+94 026 282 6573,https://www.uppuveli-gem-handicraft-store.lk,8.5955,81.2037,https://facebook.com/uppuveligemhandicraftstore,https://instagram.com/uppuveligemhandicraftstore
shop-souvenir-shops-batticaloa-1,Batticaloa Souvenir Corner,shop,Souvenir Shops,Shopping,"Batticaloa Town, Batticaloa",Batticaloa,,4.1,"Local craft and souvenir shop in Batticaloa Town selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Batticaloa%20Souvenir%20Corner,+94 065 292 5315,https://www.batticaloa-souvenir-corner.lk,7.7261,81.7052,https://facebook.com/batticaloasouvenircorner,https://instagram.com/batticaloasouvenircorner
shop-souvenir-shops-batticaloa-2,Kallady Batik & Craft Shop,shop,Souvenir Shops,Shopping,"Kallady, Batticaloa",Batticaloa,,4.1,"Local craft and souvenir shop in Kallady selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Kallady%20Batik%20%26%20Craft%20Shop,+94 065 213 5889,https://www.kallady-batik-craft-shop.lk,7.7235,81.7169,https://facebook.com/kalladybatikcraftshop,https://instagram.com/kalladybatikcraftshop
shop-souvenir-shops-batticaloa-3,Pasikudah Gem & Handicraft Store,shop,Souvenir Shops,Shopping,"Pasikudah, Batticaloa",Batticaloa,,3.9,"Local craft and souvenir shop in Pasikudah selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Pasikudah%20Gem%20%26%20Handicraft%20Store,+94 065 247 3646,https://www.pasikudah-gem-handicraft-store.lk,7.9341,81.5723,https://facebook.com/pasikudahgemhandicraftstore,https://instagram.com/pasikudahgemhandicraftstore
shop-souvenir-shops-ampara-1,Arugam Souvenir Corner,shop,Souvenir Shops,Shopping,"Arugam Bay, Ampara",Ampara,,4.1,"Local craft and souvenir shop in Arugam Bay selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Arugam%20Souvenir%20Corner,+94 063 200 6310,https://www.arugam-souvenir-corner.lk,6.8398,81.8289,https://facebook.com/arugamsouvenircorner,https://instagram.com/arugamsouvenircorner
shop-souvenir-shops-ampara-2,Pottuvil Batik & Craft Shop,shop,Souvenir Shops,Shopping,"Pottuvil, Ampara",Ampara,,4,"Local craft and souvenir shop in Pottuvil selling batik, gems and handmade gifts.",https://placehold.co/800x600?text=Pottuvil%20Batik%20%26%20Craft%20Shop,+94 063 239 4923,https://www.pottuvil-batik-craft-shop.lk,6.8609,81.8359,https://facebook.com/pottuvilbatikcraftshop,https://instagram.com/pottuvilbatikcraftshop
service-surfing-trincomalee-1,Trincomalee Surf School,service,Surfing,Water Sports,"Trincomalee Town, Trincomalee",Trincomalee,premium,4.9,"Surf lessons and board rentals in Trincomalee Town, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Trincomalee%20Surf%20School,+94 026 210 8962,https://www.trincomalee-surf-school.lk,8.5896,81.2429,https://facebook.com/trincomaleesurfschool,https://instagram.com/trincomaleesurfschool
service-surfing-trincomalee-2,Nilaveli Surf Camp,service,Surfing,Water Sports,"Nilaveli, Trincomalee",Trincomalee,featured,4.5,"Surf lessons and board rentals in Nilaveli, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Nilaveli%20Surf%20Camp,+94 026 216 3103,https://www.nilaveli-surf-camp.lk,8.7032,81.1922,https://facebook.com/nilavelisurfcamp,https://instagram.com/nilavelisurfcamp
service-surfing-batticaloa-1,Batticaloa Surf School,service,Surfing,Water Sports,"Batticaloa Town, Batticaloa",Batticaloa,,4.1,"Surf lessons and board rentals in Batticaloa Town, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Batticaloa%20Surf%20School,+94 065 267 7932,https://www.batticaloa-surf-school.lk,7.726,81.7086,https://facebook.com/batticaloasurfschool,https://instagram.com/batticaloasurfschool
service-surfing-ampara-1,Arugam Surf School,service,Surfing,Water Sports,"Arugam Bay, Ampara",Ampara,premium,4.7,"Surf lessons and board rentals in Arugam Bay, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Arugam%20Surf%20School,+94 063 288 4295,https://www.arugam-surf-school.lk,6.8443,81.8347,https://facebook.com/arugamsurfschool,https://instagram.com/arugamsurfschool
service-surfing-ampara-2,Pottuvil Surf Camp,service,Surfing,Water Sports,"Pottuvil, Ampara",Ampara,featured,4.6,"Surf lessons and board rentals in Pottuvil, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Pottuvil%20Surf%20Camp,+94 063 247 8177,https://www.pottuvil-surf-camp.lk,6.8777,81.8273,https://facebook.com/pottuvilsurfcamp,https://instagram.com/pottuvilsurfcamp
service-surfing-ampara-3,Kalmunai Point Surf Shack,service,Surfing,Water Sports,"Kalmunai, Ampara",Ampara,,4.2,"Surf lessons and board rentals in Kalmunai, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Kalmunai%20Point%20Surf%20Shack,+94 063 208 6539,https://www.kalmunai-point-surf-shack.lk,7.4071,81.8178,https://facebook.com/kalmunaipointsurfshack,https://instagram.com/kalmunaipointsurfshack
service-surfing-ampara-4,Akkaraipattu Surf School,service,Surfing,Water Sports,"Akkaraipattu, Ampara",Ampara,featured,4.5,"Surf lessons and board rentals in Akkaraipattu, suited to beginners and experienced surfers alike.",https://placehold.co/800x600?text=Akkaraipattu%20Surf%20School,+94 063 200 2163,https://www.akkaraipattu-surf-school.lk,7.2209,81.8412,https://facebook.com/akkaraipattusurfschool,https://instagram.com/akkaraipattusurfschool
service-diving-trincomalee-1,Trincomalee Dive Centre,service,Diving,Water Sports,"Trincomalee Town, Trincomalee",Trincomalee,,4.1,"PADI-affiliated dive centre in Trincomalee Town offering reef and wreck dive excursions.",https://placehold.co/800x600?text=Trincomalee%20Dive%20Centre,+94 026 204 6413,https://www.trincomalee-dive-centre.lk,8.5747,81.2281,https://facebook.com/trincomaleedivecentre,https://instagram.com/trincomaleedivecentre
service-diving-trincomalee-2,Nilaveli Scuba Base,service,Diving,Water Sports,"Nilaveli, Trincomalee",Trincomalee,featured,4.5,"PADI-affiliated dive centre in Nilaveli offering reef and wreck dive excursions.",https://placehold.co/800x600?text=Nilaveli%20Scuba%20Base,+94 026 227 9834,https://www.nilaveli-scuba-base.lk,8.6926,81.192,https://facebook.com/nilaveliscubabase,https://instagram.com/nilaveliscubabase
service-diving-trincomalee-3,Uppuveli Dive Centre,service,Diving,Water Sports,"Uppuveli, Trincomalee",Trincomalee,featured,4.5,"PADI-affiliated dive centre in Uppuveli offering reef and wreck dive excursions.",https://placehold.co/800x600?text=Uppuveli%20Dive%20Centre,+94 026 260 4981,https://www.uppuveli-dive-centre.lk,8.609,81.2111,https://facebook.com/uppuvelidivecentre,https://instagram.com/uppuvelidivecentre
service-diving-batticaloa-1,Batticaloa Dive Centre,service,Diving,Water Sports,"Batticaloa Town, Batticaloa",Batticaloa,,4.2,"PADI-affiliated dive centre in Batticaloa Town offering reef and wreck dive excursions.",https://placehold.co/800x600?text=Batticaloa%20Dive%20Centre,+94 065 212 8062,https://www.batticaloa-dive-centre.lk,7.7138,81.6982,https://facebook.com/batticaloadivecentre,https://instagram.com/batticaloadivecentre
service-diving-ampara-1,Arugam Dive Centre,service,Diving,Water Sports,"Arugam Bay, Ampara",Ampara,premium,4.7,"PADI-affiliated dive centre in Arugam Bay offering reef and wreck dive excursions.",https://placehold.co/800x600?text=Arugam%20Dive%20Centre,+94 063 206 2612,https://www.arugam-dive-centre.lk,6.8312,81.8413,https://facebook.com/arugamdivecentre,https://instagram.com/arugamdivecentre
service-snorkeling-trincomalee-1,Trincomalee Reef Snorkel Tours,service,Snorkeling,Water Sports,"Trincomalee Town, Trincomalee",Trincomalee,featured,4.5,"Guided snorkeling trips from Trincomalee Town to nearby coral reefs and calm bays.",https://placehold.co/800x600?text=Trincomalee%20Reef%20Snorkel%20Tours,+94 026 213 5073,https://www.trincomalee-reef-snorkel-tours.lk,8.5771,81.234,https://facebook.com/trincomaleereefsnorkeltours,https://instagram.com/trincomaleereefsnorkeltours
service-snorkeling-trincomalee-2,Nilaveli Coral Snorkel Trips,service,Snorkeling,Water Sports,"Nilaveli, Trincomalee",Trincomalee,,4,"Guided snorkeling trips from Nilaveli to nearby coral reefs and calm bays.",https://placehold.co/800x600?text=Nilaveli%20Coral%20Snorkel%20Trips,+94 026 223 5563,https://www.nilaveli-coral-snorkel-trips.lk,8.6993,81.1908,https://facebook.com/nilavelicoralsnorkeltrips,https://instagram.com/nilavelicoralsnorkeltrips
service-snorkeling-trincomalee-3,Uppuveli Reef Snorkel Tours,service,Snorkeling,Water Sports,"Uppuveli, Trincomalee",Trincomalee,,4,"Guided snorkeling trips from Uppuveli to nearby coral reefs and calm bays.",https://placehold.co/800x600?text=Uppuveli%20Reef%20Snorkel%20Tours,+94 026 270 2604,https://www.uppuveli-reef-snorkel-tours.lk,8.5943,81.215,https://facebook.com/uppuvelireefsnorkeltours,https://instagram.com/uppuvelireefsnorkeltours
service-snorkeling-batticaloa-1,Batticaloa Reef Snorkel Tours,service,Snorkeling,Water Sports,"Batticaloa Town, Batticaloa",Batticaloa,featured,4.5,"Guided snorkeling trips from Batticaloa Town to nearby coral reefs and calm bays.",https://placehold.co/800x600?text=Batticaloa%20Reef%20Snorkel%20Tours,+94 065 211 4872,https://www.batticaloa-reef-snorkel-tours.lk,7.71,81.6997,https://facebook.com/batticaloareefsnorkeltours,https://instagram.com/batticaloareefsnorkeltours
service-snorkeling-batticaloa-2,Kallady Coral Snorkel Trips,service,Snorkeling,Water Sports,"Kallady, Batticaloa",Batticaloa,,4,"Guided snorkeling trips from Kallady to nearby coral reefs and calm bays.",https://placehold.co/800x600?text=Kallady%20Coral%20Snorkel%20Trips,+94 065 251 1960,https://www.kallady-coral-snorkel-trips.lk,7.71,81.7067,https://facebook.com/kalladycoralsnorkeltrips,https://instagram.com/kalladycoralsnorkeltrips
service-snorkeling-ampara-1,Arugam Reef Snorkel Tours,service,Snorkeling,Water Sports,"Arugam Bay, Ampara",Ampara,,4.2,"Guided snorkeling trips from Arugam Bay to nearby coral reefs and calm bays.",https://placehold.co/800x600?text=Arugam%20Reef%20Snorkel%20Tours,+94 063 258 5673,https://www.arugam-reef-snorkel-tours.lk,6.8385,81.8458,https://facebook.com/arugamreefsnorkeltours,https://instagram.com/arugamreefsnorkeltours
service-whale-watching-trincomalee-1,Trincomalee Whale Watching Tours,service,Whale Watching,Water Sports,"Trincomalee Town, Trincomalee",Trincomalee,premium,4.8,"Boat excursions from Trincomalee Town to spot blue whales and dolphins offshore.",https://placehold.co/800x600?text=Trincomalee%20Whale%20Watching%20Tours,+94 026 271 8973,https://www.trincomalee-whale-watching-tours.lk,8.5764,81.2292,https://facebook.com/trincomaleewhalewatchingtours,https://instagram.com/trincomaleewhalewatchingtours
service-whale-watching-trincomalee-2,Nilaveli Blue Whale Charters,service,Whale Watching,Water Sports,"Nilaveli, Trincomalee",Trincomalee,premium,4.8,"Boat excursions from Nilaveli to spot blue whales and dolphins offshore.",https://placehold.co/800x600?text=Nilaveli%20Blue%20Whale%20Charters,+94 026 274 9883,https://www.nilaveli-blue-whale-charters.lk,8.6912,81.1796,https://facebook.com/nilavelibluewhalecharters,https://instagram.com/nilavelibluewhalecharters
service-whale-watching-trincomalee-3,Uppuveli Whale Watching Tours,service,Whale Watching,Water Sports,"Uppuveli, Trincomalee",Trincomalee,,4.1,"Boat excursions from Uppuveli to spot blue whales and dolphins offshore.",https://placehold.co/800x600?text=Uppuveli%20Whale%20Watching%20Tours,+94 026 261 9238,https://www.uppuveli-whale-watching-tours.lk,8.6117,81.2056,https://facebook.com/uppuveliwhalewatchingtours,https://instagram.com/uppuveliwhalewatchingtours
service-whale-watching-batticaloa-1,Batticaloa Whale Watching Tours,service,Whale Watching,Water Sports,"Batticaloa Town, Batticaloa",Batticaloa,,4.1,"Boat excursions from Batticaloa Town to spot blue whales and dolphins offshore.",https://placehold.co/800x600?text=Batticaloa%20Whale%20Watching%20Tours,+94 065 265 2312,https://www.batticaloa-whale-watching-tours.lk,7.7237,81.6914,https://facebook.com/batticaloawhalewatchingtours,https://instagram.com/batticaloawhalewatchingtours
service-whale-watching-ampara-1,Arugam Whale Watching Tours,service,Whale Watching,Water Sports,"Arugam Bay, Ampara",Ampara,,4.1,"Boat excursions from Arugam Bay to spot blue whales and dolphins offshore.",https://placehold.co/800x600?text=Arugam%20Whale%20Watching%20Tours,+94 063 230 7615,https://www.arugam-whale-watching-tours.lk,6.8324,81.8445,https://facebook.com/arugamwhalewatchingtours,https://instagram.com/arugamwhalewatchingtours
service-hiking-trincomalee-1,Trincomalee Nature Hiking Guides,service,Hiking,Tours,"Trincomalee Town, Trincomalee",Trincomalee,,4.1,"Guided nature hikes around Trincomalee Town through forest and coastal trails.",https://placehold.co/800x600?text=Trincomalee%20Nature%20Hiking%20Guides,+94 026 276 1651,https://www.trincomalee-nature-hiking-guides.lk,8.5857,81.2317,https://facebook.com/trincomaleenaturehikingguides,https://instagram.com/trincomaleenaturehikingguides
service-hiking-trincomalee-2,Nilaveli Trail Trekkers,service,Hiking,Tours,"Nilaveli, Trincomalee",Trincomalee,,4.3,"Guided nature hikes around Nilaveli through forest and coastal trails.",https://placehold.co/800x600?text=Nilaveli%20Trail%20Trekkers,+94 026 266 6183,https://www.nilaveli-trail-trekkers.lk,8.7087,81.1774,https://facebook.com/nilavelitrailtrekkers,https://instagram.com/nilavelitrailtrekkers
service-hiking-batticaloa-1,Batticaloa Nature Hiking Guides,service,Hiking,Tours,"Batticaloa Town, Batticaloa",Batticaloa,featured,4.4,"Guided nature hikes around Batticaloa Town through forest and coastal trails.",https://placehold.co/800x600?text=Batticaloa%20Nature%20Hiking%20Guides,+94 065 230 5351,https://www.batticaloa-nature-hiking-guides.lk,7.7146,81.7034,https://facebook.com/batticaloanaturehikingguides,https://instagram.com/batticaloanaturehikingguides
service-hiking-ampara-1,Arugam Nature Hiking Guides,service,Hiking,Tours,"Arugam Bay, Ampara",Ampara,,4.1,"Guided nature hikes around Arugam Bay through forest and coastal trails.",https://placehold.co/800x600?text=Arugam%20Nature%20Hiking%20Guides,+94 063 240 2188,https://www.arugam-nature-hiking-guides.lk,6.8302,81.8391,https://facebook.com/arugamnaturehikingguides,https://instagram.com/arugamnaturehikingguides
service-hiking-ampara-2,Pottuvil Trail Trekkers,service,Hiking,Tours,"Pottuvil, Ampara",Ampara,,4.3,"Guided nature hikes around Pottuvil through forest and coastal trails.",https://placehold.co/800x600?text=Pottuvil%20Trail%20Trekkers,+94 063 212 2200,https://www.pottuvil-trail-trekkers.lk,6.8705,81.8284,https://facebook.com/pottuviltrailtrekkers,https://instagram.com/pottuviltrailtrekkers
service-cycling-trincomalee-1,Trincomalee Cycle Tours,service,Cycling,Tours,"Trincomalee Town, Trincomalee",Trincomalee,,3.9,"Bike rental and guided cycling tours exploring the villages around Trincomalee Town.",https://placehold.co/800x600?text=Trincomalee%20Cycle%20Tours,+94 026 244 2127,https://www.trincomalee-cycle-tours.lk,8.5909,81.2307,https://facebook.com/trincomaleecycletours,https://instagram.com/trincomaleecycletours
service-cycling-trincomalee-2,Nilaveli Bike Rentals & Tours,service,Cycling,Tours,"Nilaveli, Trincomalee",Trincomalee,,3.9,"Bike rental and guided cycling tours exploring the villages around Nilaveli.",https://placehold.co/800x600?text=Nilaveli%20Bike%20Rentals%20%26%20Tours,+94 026 269 5956,https://www.nilaveli-bike-rentals-tours.lk,8.7022,81.193,https://facebook.com/nilavelibikerentalstours,https://instagram.com/nilavelibikerentalstours
service-cycling-batticaloa-1,Batticaloa Cycle Tours,service,Cycling,Tours,"Batticaloa Town, Batticaloa",Batticaloa,,4.3,"Bike rental and guided cycling tours exploring the villages around Batticaloa Town.",https://placehold.co/800x600?text=Batticaloa%20Cycle%20Tours,+94 065 201 5905,https://www.batticaloa-cycle-tours.lk,7.7253,81.6921,https://facebook.com/batticaloacycletours,https://instagram.com/batticaloacycletours
service-cycling-batticaloa-2,Kallady Bike Rentals & Tours,service,Cycling,Tours,"Kallady, Batticaloa",Batticaloa,featured,4.4,"Bike rental and guided cycling tours exploring the villages around Kallady.",https://placehold.co/800x600?text=Kallady%20Bike%20Rentals%20%26%20Tours,+94 065 233 2891,https://www.kallady-bike-rentals-tours.lk,7.7245,81.7215,https://facebook.com/kalladybikerentalstours,https://instagram.com/kalladybikerentalstours
service-cycling-ampara-1,Arugam Cycle Tours,service,Cycling,Tours,"Arugam Bay, Ampara",Ampara,,3.9,"Bike rental and guided cycling tours exploring the villages around Arugam Bay.",https://placehold.co/800x600?text=Arugam%20Cycle%20Tours,+94 063 236 4450,https://www.arugam-cycle-tours.lk,6.8444,81.8308,https://facebook.com/arugamcycletours,https://instagram.com/arugamcycletours
service-cycling-ampara-2,Pottuvil Bike Rentals & Tours,service,Cycling,Tours,"Pottuvil, Ampara",Ampara,,4.2,"Bike rental and guided cycling tours exploring the villages around Pottuvil.",https://placehold.co/800x600?text=Pottuvil%20Bike%20Rentals%20%26%20Tours,+94 063 233 9280,https://www.pottuvil-bike-rentals-tours.lk,6.8695,81.8364,https://facebook.com/pottuvilbikerentalstours,https://instagram.com/pottuvilbikerentalstours
